ds,volume,vix,interest_rate,cpi,y,cap,prophet_forecast,residual,lgb_correction,final_forecast
2015-06-21,27877600.0,13.960000038146973,0.13,237.657,4480.614,26515.992,4562.031734636509,-81.41773463650952,-68.01611506451773,4494.015619571991
2015-06-22,19120900.0,12.739999771118164,0.13,237.657,4544.04,26515.992,4670.796395180623,-126.75639518062326,-126.75252497971067,4544.043870200912
2015-06-23,18127900.0,12.109999656677246,0.13,237.657,4548.74,26515.992,4716.260625436153,-167.52062543615284,-167.52199538724952,4548.738630048903
2015-06-24,15815900.0,13.260000228881836,0.13,237.657,4524.6,26515.992,4649.54552493984,-124.94552493983974,-124.9446772051926,4524.600847734648
2015-06-25,18326700.0,14.010000228881836,0.13,237.657,4514.01,26515.992,4618.122953165072,-104.11295316507221,-104.11555791880576,4514.007395246266
2015-06-26,32311700.0,14.020000457763672,0.13,237.657,4484.28,26515.992,4621.083097067228,-136.803097067228,-108.89387752739691,4512.18921953983
2015-06-27,32311700.0,14.020000457763672,0.13,237.657,4523.134,26515.992,4615.928052673446,-92.79405267344555,-108.89387752739691,4507.034175146048
2015-06-28,32311700.0,14.020000457763672,0.13,237.657,4523.134,26515.992,4620.216078674817,-97.08207867481724,-108.89387752739691,4511.32220114742
2015-06-29,50874900.0,18.850000381469727,0.13,237.657,4379.86,26515.992,4411.3260905878415,-31.46609058784179,-31.466933103738217,4379.859157484103
2015-06-30,34809900.0,18.229999542236328,0.13,237.657,4396.76,26515.992,4440.1128739063115,-43.35287390631129,-43.351571744004524,4396.761302162307
2015-07-01,21293000.0,16.09000015258789,0.13,238.034,4429.23,26515.992,4568.425281762133,-139.19528176213316,-139.18940675130503,4429.235875010828
2015-07-02,20499400.0,16.790000915527344,0.13,238.034,4433.39,26515.992,4536.8413801622155,-103.45138016221517,-104.30336117974501,4432.538018982471
2015-07-03,20499400.0,16.790000915527344,0.13,238.034,4433.39,26515.992,4526.429105480894,-93.03910548089334,-104.30336117974501,4422.125744301149
2015-07-04,20499400.0,16.790000915527344,0.13,238.034,4414.526,26515.992,4522.2129226935995,-107.68692269359963,-104.30336117974501,4417.909561513855
2015-07-05,20499400.0,16.790000915527344,0.13,238.034,4414.526,26515.992,4527.5630420563175,-113.03704205631766,-104.30336117974501,4423.259680876573
2015-07-06,24311000.0,17.010000228881836,0.13,238.034,4418.66,26515.992,4567.630490877127,-148.9704908771273,-148.96925211710425,4418.661238760023
2015-07-07,44230800.0,16.09000015258789,0.13,238.034,4429.06,26515.992,4652.347312322028,-223.2873123220279,-223.2873368081811,4429.059975513847
2015-07-08,39691500.0,19.65999984741211,0.13,238.034,4351.58,26515.992,4446.031077841835,-94.45107784183529,-94.45345319204768,4351.577624649787
2015-07-09,28381000.0,19.969999313354492,0.13,238.034,4352.03,26515.992,4426.3059033270865,-74.27590332708678,-74.27342610773448,4352.032477219352
2015-07-10,26415800.0,16.829999923706055,0.13,238.034,4420.15,26515.992,4593.471092754753,-173.3210927547534,-189.20105353879944,4404.270039215953
2015-07-11,26415800.0,16.829999923706055,0.13,238.034,4394.296,26515.992,4589.093569862918,-194.79756986291795,-189.20105353879944,4399.892516324118
2015-07-12,26415800.0,16.829999923706055,0.13,238.034,4394.296,26515.992,4593.7772482860155,-199.48124828601522,-189.20105353879944,4404.5761947472165
2015-07-13,25780700.0,13.899999618530273,0.13,238.034,4494.47,26515.992,4807.886651339193,-313.41665133919287,-313.41702580808874,4494.469625531105
2015-07-14,21977200.0,13.369999885559082,0.13,238.034,4523.47,26515.992,4843.58374538104,-320.11374538103973,-320.10899235796967,4523.474753023071
2015-07-15,28631500.0,13.229999542236328,0.13,238.034,4528.36,26515.992,4858.454324749198,-330.0943247491987,-330.0947532752366,4528.359571473962
2015-07-16,29838900.0,12.109999656677246,0.13,238.034,4594.9,26515.992,4930.407003653437,-335.5070036534371,-335.5061102095586,4594.900893443878
2015-07-17,35926800.0,11.949999809265137,0.13,238.034,4661.6,26515.992,4931.999310562709,-270.3993105627087,-331.79839295804777,4600.200917604661
2015-07-18,35926800.0,11.949999809265137,0.13,238.034,4560.56,26515.992,4923.208480651447,-362.64848065144633,-331.79839295804777,4591.410087693399
2015-07-19,35926800.0,11.949999809265137,0.13,238.034,4560.56,26515.992,4922.906368570388,-362.3463685703873,-331.79839295804777,4591.10797561234
2015-07-20,26539000.0,12.25,0.13,238.034,4679.68,26515.992,4937.828225502973,-258.1482255029723,-258.14048714203665,4679.687738360936
2015-07-21,35468900.0,12.220000267028809,0.13,238.034,4674.41,26515.992,4952.4134230227455,-278.00342302274566,-278.0069666729437,4674.406456349801
2015-07-22,35575000.0,12.119999885559082,0.13,238.034,4623.24,26515.992,4951.897134992852,-328.65713499285266,-328.6532379012351,4623.243897091617
2015-07-23,25698300.0,12.640000343322754,0.13,238.034,4602.83,26515.992,4912.101888641999,-309.2718886419989,-309.2713077585092,4602.830580883489
2015-07-24,30844700.0,13.739999771118164,0.13,238.034,4557.37,26515.992,4834.222545781021,-276.85254578102104,-217.75833259836665,4616.464213182654
2015-07-25,30844700.0,13.739999771118164,0.13,238.034,4627.505999999999,26515.992,4818.9871454392605,-191.48114543926113,-217.75833259836665,4601.228812840894
2015-07-26,30844700.0,13.739999771118164,0.13,238.034,4627.505999999999,26515.992,4812.445413368753,-184.93941336875378,-217.75833259836665,4594.687080770386
2015-07-27,35994800.0,15.600000381469727,0.13,238.034,4519.09,26515.992,4747.618584531168,-228.52858453116824,-228.53231982731432,4519.086264703854
2015-07-28,33553500.0,13.4399995803833,0.13,238.034,4560.23,26515.992,4866.547045084053,-306.31704508405346,-306.3178623914712,4560.229182692582
2015-07-29,26714100.0,12.5,0.13,238.034,4581.6,26515.992,4901.955991575232,-320.3559915752312,-320.36491818966795,4581.5910733855635
2015-07-30,25438100.0,12.130000114440918,0.13,238.034,4598.59,26515.992,4918.0112645816,-319.42126458159964,-319.4214048128026,4598.589859768797
2015-07-31,22081700.0,12.119999885559082,0.13,238.034,4588.91,26515.992,4891.471203534568,-302.56120353456845,-301.21026003718714,4590.260943497381
2015-08-01,22081700.0,12.119999885559082,0.13,238.034,4569.684,26515.992,4874.056536803232,-304.3725368032319,-301.21026003718714,4572.846276766045
2015-08-02,22081700.0,12.119999885559082,0.13,238.034,4569.684,26515.992,4866.380172670472,-296.69617267047215,-301.21026003718714,4565.169912633285
2015-08-03,25001800.0,12.5600004196167,0.13,238.034,4580.46,26515.992,4880.295280052567,-299.8352800525672,-299.83228690841753,4580.46299314415
2015-08-04,22132300.0,13.0,0.13,238.034,4567.47,26515.992,4851.348271617988,-283.8782716179876,-283.8755346209023,4567.472736997086
2015-08-05,28989900.0,12.510000228881836,0.13,238.034,4602.24,26515.992,4877.6579986568395,-275.4179986568397,-275.4135757290247,4602.244422927814
2015-08-06,42125400.0,13.770000457763672,0.13,238.034,4528.51,26515.992,4819.0719276354685,-290.56192763546824,-290.56807640224736,4528.503851233221
2015-08-07,30006800.0,13.390000343322754,0.13,238.034,4520.08,26515.992,4808.886973417814,-288.80697341781433,-253.89086726147627,4554.996106156338
2015-08-08,30006800.0,13.390000343322754,0.13,238.034,4559.752,26515.992,4796.875941716941,-237.12394171694086,-253.89086726147627,4542.985074455465
2015-08-09,30006800.0,13.390000343322754,0.13,238.034,4559.752,26515.992,4795.491152723122,-235.73915272312115,-253.89086726147627,4541.600285461645
2015-08-10,21500800.0,12.229999542236328,0.13,238.034,4573.11,26515.992,4895.868588247049,-322.7585882470494,-322.75895291591456,4573.109635331134
2015-08-11,36123300.0,13.710000038146973,0.13,238.034,4513.99,26515.992,4833.5358957014505,-319.5458957014507,-319.5422984115132,4513.9935972899375
